kind,tech,capacityKW,hours,tempC,loadPct,efficiencyPct,src
production,Solar-PERC 450W,111.4,8.9,41.6,97.3,83.15,synth
storage,Li-ion NMC,55.4,12.2,36.3,55.3,85.55,synth
storage,Li-ion LFP,382.8,18.8,41.2,20.2,90.35,synth
distribution,LV-11kV line,345.9,1.8,19.7,54.9,82.21,synth
storage,Lead-Acid,249.7,7.7,34.2,21.2,73.01,synth
distribution,HVDC link,459.6,16.2,16.0,92.8,96.58,synth
distribution,HV-220kV line,243.7,14.1,43.2,93.8,95.8,synth
production,Hydro-Kaplan,86.0,12.8,35.7,41.8,87.58,synth
production,Hydro-Kaplan,447.2,9.5,43.4,96.4,89.51,synth
production,Wind-Geared 2MW,46.5,3.3,32.2,84.5,87.04,synth
storage,Li-ion LFP,75.8,6.5,34.5,41.5,87.37,synth
distribution,LV-11kV line,266.2,15.2,27.3,33.3,85.02,synth
distribution,LV-11kV line,105.7,2.0,30.9,90.3,82.7,synth
storage,Li-ion NMC,93.3,17.9,41.1,43.2,87.39,synth
distribution,LV-11kV line,268.2,7.4,19.2,40.9,84.22,synth
production,Wind-Geared 2MW,169.8,4.3,24.3,35.7,85.02,synth
distribution,HV-132kV line,198.5,6.9,42.9,48.6,92.91,synth
production,Wind-DirectDrive 4MW,484.7,13.0,33.3,52.8,91.13,synth
production,Wind-Geared 2MW,271.2,5.4,18.2,97.7,85.6,synth
distribution,LV-11kV line,246.2,6.0,17.1,26.9,82.48,synth
storage,Li-ion NMC,352.3,6.3,18.1,98.1,85.54,synth
production,Solar-TOPCon 580W,325.8,2.3,21.1,85.7,88.07,synth
distribution,HVDC link,34.4,10.4,35.9,84.8,95.51,synth
storage,Solid-State pilot,120.2,15.0,34.1,81.7,92.84,synth
distribution,LV-11kV line,115.4,19.8,15.3,63.8,84.39,synth
production,Hydro-Kaplan,222.5,3.5,30.1,21.2,87.16,synth
distribution,HV-220kV line,121.3,10.4,42.5,80.5,93.71,synth
distribution,LV-11kV line,295.3,1.8,41.5,94.3,85.0,synth
distribution,HV-220kV line,186.1,11.5,32.0,69.3,94.72,synth
storage,Li-ion NMC,277.6,1.2,40.2,69.8,89.41,synth
storage,Li-ion NMC,252.4,19.8,41.3,63.4,88.33,synth
distribution,LV-11kV line,223.8,17.2,29.1,86.6,84.34,synth
storage,Li-ion NMC,40.8,2.9,30.3,64.9,86.78,synth
production,Solar-TOPCon 580W,422.4,14.7,23.3,49.2,90.69,synth
distribution,HVDC link,373.1,4.4,16.6,90.3,97.32,synth
storage,Flow-Vanadium,130.0,11.4,22.6,37.6,75.36,synth
production,Wind-Geared 2MW,215.6,15.5,36.1,75.3,85.64,synth
distribution,LV-11kV line,289.9,11.9,24.9,42.7,83.74,synth
production,Wind-DirectDrive 4MW,195.7,2.7,29.0,95.4,91.1,synth
distribution,HVDC link,124.6,4.8,41.3,76.9,95.52,synth
production,Hydro-Kaplan,250.0,4.9,15.5,65.9,86.79,synth
distribution,HVDC link,302.2,18.1,25.5,97.3,99,synth
storage,Solid-State pilot,451.8,5.1,18.8,94.4,94.91,synth
distribution,HV-220kV line,322.5,7.6,37.2,84.1,96.09,synth
storage,Li-ion NMC,460.9,8.1,44.5,26.0,89.13,synth
production,Wind-Geared 2MW,242.2,3.1,37.8,34.8,88.17,synth
distribution,LV-11kV line,93.5,17.7,42.5,73.9,82.27,synth
storage,Li-ion NMC,204.1,3.8,26.9,68.6,92.13,synth
production,Solar-TOPCon 580W,121.4,13.2,25.4,94.6,88.78,synth
distribution,HV-132kV line,329.3,2.7,25.6,33.1,92.36,synth
storage,Flow-Vanadium,1.3,1.8,15.6,38.5,77.98,synth
storage,Flow-Vanadium,186.5,1.2,43.3,91.8,77.03,synth
production,Wind-DirectDrive 4MW,263.4,10.9,30.7,95.4,95.0,synth
production,Solar-PERC 450W,132.2,3.6,28.5,84.6,84.67,synth
production,Hydro-Francis,451.8,2.1,38.2,41.4,85.98,synth
distribution,HVDC link,213.1,15.8,27.2,68.4,99,synth
storage,Solid-State pilot,161.1,17.9,17.0,31.1,95.74,synth
storage,Lead-Acid,114.7,16.7,21.5,61.0,75.18,synth
distribution,HV-220kV line,335.4,8.3,44.8,63.8,95.28,synth
storage,Li-ion NMC,400.9,11.4,38.4,48.5,90.1,synth
production,Solar-TOPCon 580W,317.7,17.8,42.8,29.2,92.27,synth
distribution,HV-220kV line,302.8,16.6,29.1,43.6,98.45,synth
storage,Li-ion LFP,346.0,8.9,24.8,87.0,93.83,synth
storage,Lead-Acid,382.1,16.8,15.9,74.2,76.09,synth
production,Solar-TOPCon 580W,178.6,1.1,33.9,46.1,92.43,synth
production,Solar-PERC 450W,498.1,6.2,42.3,75.0,83.84,synth
storage,Lead-Acid,267.4,4.7,31.7,89.0,76.24,synth
storage,Li-ion NMC,198.0,9.0,21.0,84.5,88.57,synth
distribution,LV-11kV line,199.1,18.8,16.1,51.7,82.43,synth
storage,Lead-Acid,355.5,17.3,34.4,81.8,73.9,synth
production,Hydro-Francis,9.1,18.6,37.1,25.1,82.64,synth
production,Hydro-Kaplan,471.8,9.7,30.2,46.8,87.99,synth
distribution,HV-220kV line,18.8,6.0,40.7,56.3,96.75,synth
distribution,HVDC link,4.1,4.9,29.5,67.0,97.35,synth
storage,Li-ion LFP,461.9,8.4,22.2,44.3,91.74,synth
storage,Solid-State pilot,188.7,18.0,35.4,32.9,95.73,synth
storage,Li-ion NMC,384.7,4.2,31.1,29.7,88.98,synth
distribution,HV-220kV line,416.3,8.6,24.1,61.8,94.8,synth
distribution,HV-220kV line,314.2,7.1,23.0,29.5,93.72,synth
storage,Li-ion NMC,445.8,17.8,20.5,27.5,87.8,synth
distribution,HV-220kV line,437.7,13.6,19.1,35.9,95.91,synth
production,Solar-TOPCon 580W,303.4,10.7,35.0,75.8,93.4,synth
storage,Flow-Vanadium,190.8,3.1,35.5,24.9,79.87,synth
production,Hydro-Francis,227.5,6.4,44.9,31.4,84.44,synth
distribution,HV-220kV line,164.2,12.6,42.9,87.6,94.52,synth
production,Wind-Geared 2MW,378.1,3.5,23.5,64.7,83.62,synth
production,Solar-TOPCon 580W,215.5,12.5,31.1,51.0,89.64,synth
storage,Li-ion LFP,161.6,17.9,22.4,87.2,91.43,synth
storage,Li-ion LFP,329.8,16.3,39.9,67.3,88.6,synth
distribution,HVDC link,78.1,18.2,27.9,21.4,95.56,synth
distribution,HVDC link,133.5,11.2,27.3,22.7,97.33,synth
storage,Li-ion LFP,53.9,16.7,23.3,66.2,93.14,synth
production,Wind-DirectDrive 4MW,202.8,15.9,19.9,21.8,92.45,synth
distribution,HV-220kV line,182.5,18.1,25.7,55.2,94.28,synth
storage,Lead-Acid,115.4,1.5,29.3,41.5,75.57,synth
distribution,HVDC link,401.4,10.4,35.3,82.0,95.05,synth
production,Wind-DirectDrive 4MW,226.9,2.1,21.8,63.9,94.29,synth
distribution,HVDC link,288.9,4.6,34.3,87.4,97.79,synth
storage,Flow-Vanadium,34.4,13.5,23.7,21.0,79.24,synth
distribution,LV-11kV line,120.3,6.3,36.3,36.9,80.77,synth
storage,Lead-Acid,31.7,5.1,25.5,31.9,74.9,synth
storage,Li-ion LFP,226.2,19.5,42.1,68.7,89.88,synth
storage,Lead-Acid,176.5,9.8,25.3,35.3,74.91,synth
distribution,HVDC link,228.1,10.1,30.9,25.9,96.58,synth
production,Hydro-Kaplan,76.2,2.8,32.2,44.2,88.17,synth
distribution,HV-220kV line,302.1,6.4,37.0,46.2,94.91,synth
production,Wind-DirectDrive 4MW,278.6,9.3,22.4,22.1,93.68,synth
production,Hydro-Kaplan,185.3,8.9,25.6,45.5,89.68,synth
distribution,HVDC link,52.8,7.7,33.0,39.3,97.69,synth
storage,Lead-Acid,174.6,10.0,25.7,52.4,73.87,synth
distribution,HVDC link,325.3,9.8,19.4,83.3,95.89,synth
production,Wind-Geared 2MW,58.2,11.9,21.5,41.7,86.73,synth
production,Hydro-Kaplan,172.2,16.9,35.4,98.0,89.61,synth
production,Hydro-Francis,93.7,4.3,27.7,47.5,85.22,synth
production,Solar-TOPCon 580W,485.4,12.2,20.6,37.4,89.53,synth
storage,Li-ion NMC,492.3,6.4,40.4,48.2,88.25,synth
storage,Flow-Vanadium,110.2,6.3,22.2,83.1,77.1,synth
production,Hydro-Kaplan,85.0,8.5,40.8,68.8,90.17,synth
production,Hydro-Kaplan,443.3,19.7,21.3,30.3,89.41,synth
storage,Solid-State pilot,472.6,8.9,40.2,87.8,93.13,synth
storage,Flow-Vanadium,314.1,11.4,41.6,54.9,77.71,synth
distribution,LV-11kV line,149.9,16.6,27.0,48.4,82.54,synth
distribution,HVDC link,138.1,13.3,25.6,23.4,95.39,synth
production,Wind-Geared 2MW,357.3,17.4,29.5,95.5,87.06,synth
storage,Li-ion LFP,68.3,6.5,42.2,69.1,89.99,synth
distribution,HV-132kV line,53.2,9.9,26.4,69.0,95.99,synth
production,Wind-Geared 2MW,223.0,18.3,26.1,85.7,86.48,synth
storage,Lead-Acid,9.2,6.9,30.3,67.6,73.03,synth
distribution,HV-132kV line,166.7,1.4,42.1,59.7,93.92,synth
production,Hydro-Kaplan,142.3,17.8,20.5,21.6,89.93,synth
production,Hydro-Francis,447.4,15.2,28.1,94.6,87.0,synth
distribution,LV-11kV line,15.2,6.7,27.1,99.7,83.24,synth
production,Solar-TOPCon 580W,395.8,17.1,34.5,60.9,89.94,synth
production,Solar-TOPCon 580W,34.4,4.3,40.4,66.3,92.04,synth
production,Solar-TOPCon 580W,173.7,8.1,36.9,54.5,90.84,synth
distribution,HV-132kV line,226.0,1.2,41.1,26.0,93.98,synth
storage,Li-ion LFP,431.6,11.0,33.1,36.4,91.7,synth
storage,Solid-State pilot,443.9,12.4,40.4,91.2,94.15,synth
storage,Li-ion NMC,335.2,16.0,15.1,49.0,86.16,synth
distribution,HVDC link,176.5,16.7,33.8,41.4,97.35,synth
distribution,LV-11kV line,285.0,9.0,42.1,79.2,82.94,synth
storage,Flow-Vanadium,42.2,14.5,41.0,94.4,77.8,synth
distribution,HV-132kV line,24.7,11.3,19.5,82.6,92.93,synth
distribution,LV-11kV line,148.6,13.0,24.3,57.5,83.3,synth
storage,Solid-State pilot,311.5,13.8,33.6,88.1,95.52,synth
distribution,HVDC link,467.6,4.0,21.5,43.7,96.94,synth
distribution,HV-220kV line,20.2,11.9,34.0,70.7,93.23,synth
storage,Li-ion NMC,247.4,8.6,26.4,40.1,89.1,synth
production,Hydro-Kaplan,11.0,13.0,31.5,41.3,90.63,synth
production,Hydro-Francis,284.9,3.1,37.8,92.2,82.96,synth
distribution,HV-220kV line,275.9,4.4,19.1,60.6,96.93,synth
storage,Lead-Acid,456.3,11.3,32.7,42.5,73.28,synth
production,Hydro-Kaplan,70.6,3.1,42.4,91.1,89.39,synth
distribution,HV-132kV line,345.8,9.2,41.0,64.0,92.31,synth
production,Hydro-Kaplan,154.8,3.9,38.8,28.7,88.9,synth
storage,Solid-State pilot,253.1,3.2,18.5,31.5,94.53,synth
storage,Lead-Acid,372.6,13.1,21.5,33.6,72.67,synth
storage,Li-ion NMC,288.2,8.5,19.8,76.0,87.78,synth
storage,Li-ion NMC,144.2,2.3,27.1,36.7,90.99,synth
production,Hydro-Francis,12.6,11.8,37.9,63.2,86.59,synth
distribution,HV-132kV line,153.1,11.6,27.2,98.9,92.41,synth
storage,Solid-State pilot,423.4,19.6,19.3,48.1,95.42,synth
production,Hydro-Kaplan,263.3,2.6,28.5,40.5,91.76,synth
storage,Li-ion NMC,227.0,16.9,44.6,21.0,90.15,synth
production,Solar-TOPCon 580W,35.3,3.0,37.6,88.8,89.57,synth
distribution,LV-11kV line,331.5,12.7,15.1,70.5,82.89,synth
storage,Flow-Vanadium,352.4,5.6,34.4,46.1,78.84,synth
distribution,HV-220kV line,26.1,13.1,43.9,39.9,96.83,synth
storage,Flow-Vanadium,308.5,16.7,39.0,27.1,79.12,synth
distribution,LV-11kV line,141.1,18.8,32.4,93.8,81.7,synth
production,Wind-Geared 2MW,466.2,14.3,27.7,37.2,87.72,synth
storage,Lead-Acid,14.3,1.3,31.6,98.4,74.77,synth
distribution,LV-11kV line,453.7,9.1,31.4,61.9,86.58,synth
storage,Li-ion LFP,263.8,5.4,20.3,80.2,90.22,synth
storage,Li-ion LFP,5.1,13.8,44.4,80.4,85.51,synth
production,Hydro-Francis,174.7,2.2,23.5,81.2,84.62,synth
distribution,HVDC link,229.3,10.5,23.7,85.6,95.48,synth
storage,Solid-State pilot,41.4,13.7,38.5,78.5,93.4,synth
storage,Lead-Acid,434.9,6.7,18.0,37.4,73.75,synth
production,Solar-TOPCon 580W,323.8,19.6,26.2,92.3,90.0,synth
distribution,HV-132kV line,268.5,17.4,29.8,56.7,91.8,synth
production,Solar-PERC 450W,417.9,7.7,39.9,61.0,82.61,synth
storage,Flow-Vanadium,74.5,3.8,38.5,89.3,78.1,synth
production,Hydro-Francis,378.3,4.2,24.5,33.5,83.29,synth
storage,Solid-State pilot,370.7,3.0,35.7,28.4,95.31,synth
distribution,HV-132kV line,105.9,17.0,43.4,84.7,91.72,synth
production,Hydro-Kaplan,302.0,2.6,17.4,63.5,87.55,synth
storage,Li-ion LFP,363.5,15.0,35.7,22.5,91.44,synth
storage,Solid-State pilot,142.9,11.0,38.2,51.9,90.91,synth
production,Wind-Geared 2MW,50.4,9.8,43.1,41.2,85.13,synth
storage,Lead-Acid,152.9,8.9,30.5,34.7,75.09,synth
distribution,HV-132kV line,55.3,11.1,39.6,50.5,92.43,synth
distribution,HVDC link,323.9,18.9,42.9,47.8,97.05,synth
production,Solar-PERC 450W,415.4,1.8,29.1,42.5,82.34,synth
production,Hydro-Francis,475.5,7.2,37.7,99.0,84.84,synth
storage,Flow-Vanadium,497.6,2.1,32.4,63.5,77.28,synth
production,Wind-Geared 2MW,368.7,14.4,27.9,72.4,86.48,synth
distribution,LV-11kV line,287.3,7.6,17.5,58.6,81.78,synth
production,Hydro-Francis,292.2,6.4,18.8,95.7,83.91,synth
storage,Li-ion NMC,492.3,12.9,25.5,92.3,86.44,synth
storage,Lead-Acid,51.9,1.0,41.6,93.8,73.07,synth
storage,Flow-Vanadium,316.4,5.0,33.2,82.5,75.64,synth
distribution,HV-220kV line,286.0,19.3,34.6,64.7,97.73,synth
production,Wind-DirectDrive 4MW,53.8,12.7,33.3,82.9,93.6,synth
distribution,LV-11kV line,318.2,3.6,41.9,76.0,79.22,synth
storage,Solid-State pilot,493.1,5.4,40.5,67.0,91.76,synth
production,Wind-DirectDrive 4MW,252.4,19.8,17.3,61.6,91.15,synth
production,Wind-Geared 2MW,1.2,7.1,27.3,46.8,87.22,synth
storage,Li-ion LFP,374.2,9.5,18.2,66.1,92.2,synth
storage,Lead-Acid,439.5,3.6,41.7,32.4,72.82,synth
distribution,LV-11kV line,499.9,6.8,38.3,69.8,81.69,synth
distribution,HV-132kV line,163.5,17.1,17.0,61.2,96.17,synth
distribution,HVDC link,381.9,16.8,33.0,31.0,96.27,synth
storage,Li-ion NMC,26.6,8.1,40.8,71.4,87.63,synth
distribution,HVDC link,172.1,6.4,33.6,81.1,94.03,synth
production,Wind-DirectDrive 4MW,4.1,9.1,33.3,72.1,90.73,synth
production,Solar-PERC 450W,304.9,18.6,16.3,88.2,80.68,synth
production,Hydro-Francis,333.8,1.7,36.6,52.8,82.42,synth
storage,Lead-Acid,479.6,12.6,44.7,45.1,77.39,synth
storage,Flow-Vanadium,161.4,15.2,34.9,53.7,77.96,synth
storage,Lead-Acid,72.4,8.2,26.0,98.0,75.31,synth
distribution,HV-132kV line,211.7,4.9,31.5,82.2,94.84,synth
distribution,HV-220kV line,165.2,12.7,21.2,40.1,97.38,synth
production,Wind-DirectDrive 4MW,226.3,13.1,41.7,30.8,92.04,synth
distribution,HV-220kV line,80.0,3.9,33.5,77.4,95.94,synth
distribution,HVDC link,15.1,5.8,18.9,29.3,95.02,synth
storage,Li-ion NMC,384.4,2.5,22.4,80.1,91.0,synth
distribution,HV-132kV line,442.9,17.5,29.3,33.4,95.47,synth
production,Wind-DirectDrive 4MW,125.4,11.6,22.7,29.0,91.45,synth
storage,Lead-Acid,44.1,6.1,25.5,49.7,74.24,synth
production,Wind-DirectDrive 4MW,255.7,7.6,37.5,34.9,91.81,synth
distribution,HVDC link,382.7,11.9,42.8,94.6,96.07,synth
storage,Solid-State pilot,329.8,18.0,22.9,46.5,94.81,synth
storage,Li-ion LFP,115.5,8.5,19.8,44.8,91.67,synth
storage,Flow-Vanadium,89.5,6.0,27.9,73.2,75.88,synth
storage,Lead-Acid,182.8,16.6,39.2,94.1,75.39,synth
storage,Flow-Vanadium,357.9,4.9,24.4,76.4,76.51,synth
storage,Li-ion NMC,182.0,11.4,43.1,32.0,89.47,synth
storage,Li-ion LFP,106.2,9.7,30.6,97.6,92.21,synth
production,Solar-PERC 450W,45.0,2.6,40.4,70.8,84.65,synth
production,Wind-DirectDrive 4MW,81.7,14.6,21.8,48.5,91.16,synth
distribution,HVDC link,327.6,9.9,21.4,82.6,96.79,synth
distribution,HV-132kV line,402.8,17.2,18.1,77.0,93.91,synth
distribution,HV-132kV line,251.6,4.2,35.0,20.3,91.68,synth
distribution,HVDC link,362.6,8.3,30.6,85.4,96.62,synth
storage,Lead-Acid,232.0,4.4,43.3,89.3,73.45,synth
distribution,HVDC link,395.3,1.3,36.7,55.1,99,synth
distribution,HV-132kV line,183.4,1.5,40.6,90.8,90.11,synth
storage,Li-ion NMC,270.8,13.1,20.5,85.8,88.05,synth
production,Solar-PERC 450W,245.4,17.1,16.5,63.5,82.74,synth
production,Hydro-Francis,291.7,15.4,25.9,26.0,87.13,synth
production,Hydro-Francis,366.5,13.9,41.3,46.0,84.3,synth
distribution,LV-11kV line,18.6,3.7,27.0,38.7,85.75,synth
distribution,LV-11kV line,350.3,13.7,34.4,37.6,84.71,synth
production,Hydro-Francis,125.8,5.6,25.9,25.6,86.87,synth
production,Solar-PERC 450W,430.9,16.7,16.8,84.3,81.96,synth
storage,Lead-Acid,471.7,10.3,22.4,58.8,74.66,synth
production,Wind-Geared 2MW,245.4,8.8,39.7,97.0,87.83,synth
production,Wind-DirectDrive 4MW,470.5,16.7,20.7,60.3,93.89,synth
production,Wind-DirectDrive 4MW,214.4,5.7,35.0,59.6,94.01,synth
distribution,HVDC link,187.6,10.1,33.9,27.2,96.36,synth
production,Wind-Geared 2MW,183.4,16.2,31.2,83.0,85.01,synth
storage,Solid-State pilot,50.1,2.0,40.0,96.4,97.89,synth
production,Wind-DirectDrive 4MW,222.9,15.7,21.9,91.7,90.55,synth
production,Solar-PERC 450W,175.0,9.7,41.9,93.9,81.82,synth
storage,Li-ion LFP,345.9,3.3,30.4,47.7,92.99,synth
distribution,HV-132kV line,265.8,3.6,38.8,25.3,94.37,synth
storage,Flow-Vanadium,159.9,14.1,15.9,99.1,77.62,synth
distribution,LV-11kV line,11.0,1.1,22.8,34.5,82.11,synth
distribution,HV-220kV line,312.7,7.3,40.3,37.7,95.78,synth
distribution,LV-11kV line,126.8,1.7,39.2,45.1,83.49,synth
distribution,LV-11kV line,131.4,3.0,43.8,54.4,83.64,synth
production,Wind-DirectDrive 4MW,208.5,15.9,38.2,97.3,93.02,synth
storage,Solid-State pilot,343.0,18.0,27.5,48.8,94.59,synth
storage,Solid-State pilot,489.4,16.4,19.6,99.8,91.12,synth
production,Solar-TOPCon 580W,133.0,6.6,29.1,64.1,91.79,synth
distribution,HV-132kV line,409.9,10.9,25.6,63.1,93.24,synth
distribution,LV-11kV line,106.9,19.8,16.6,66.9,82.07,synth
distribution,HV-132kV line,428.5,3.0,30.8,49.8,93.13,synth
storage,Lead-Acid,64.4,19.0,16.3,37.0,72.31,synth
storage,Li-ion LFP,431.1,5.6,40.7,45.2,91.72,synth
production,Solar-TOPCon 580W,303.7,18.1,29.1,92.7,90.73,synth
production,Hydro-Kaplan,331.8,10.2,36.7,28.5,87.96,synth
distribution,LV-11kV line,412.7,1.9,28.3,79.5,83.3,synth
storage,Solid-State pilot,420.5,3.4,27.2,89.1,93.42,synth
distribution,HV-132kV line,436.7,15.8,42.9,45.9,92.8,synth
storage,Solid-State pilot,345.4,11.2,25.0,82.2,93.26,synth
storage,Lead-Acid,77.0,10.2,31.3,41.4,73.63,synth
distribution,LV-11kV line,331.6,18.5,33.1,24.5,81.33,synth
distribution,HV-220kV line,480.4,17.5,37.8,55.0,95.86,synth
storage,Flow-Vanadium,252.0,16.8,44.7,86.9,76.55,synth
storage,Lead-Acid,29.8,10.7,18.7,39.3,73.48,synth
storage,Li-ion LFP,103.0,15.1,29.7,23.7,93.18,synth
distribution,LV-11kV line,130.2,13.0,18.3,63.7,83.18,synth
production,Hydro-Kaplan,46.5,16.1,17.1,56.7,88.17,synth
storage,Flow-Vanadium,351.7,17.0,15.5,90.4,76.17,synth
storage,Solid-State pilot,338.1,2.3,21.7,62.7,95.66,synth
distribution,LV-11kV line,416.1,18.2,25.2,63.1,84.16,synth
storage,Li-ion NMC,351.9,8.3,41.0,22.2,89.59,synth
distribution,HV-220kV line,274.0,2.7,15.7,74.5,96.41,synth
production,Solar-TOPCon 580W,220.5,2.1,39.1,63.3,90.57,synth
distribution,HV-132kV line,393.5,8.8,31.3,50.9,95.03,synth
distribution,HV-220kV line,9.1,1.4,41.1,89.7,93.71,synth
distribution,HVDC link,278.0,5.0,16.9,64.8,97.91,synth
production,Hydro-Francis,223.0,18.4,34.3,69.2,83.21,synth
storage,Li-ion NMC,316.5,1.7,28.5,93.3,90.9,synth
production,Wind-Geared 2MW,231.1,13.1,27.9,73.8,84.76,synth
production,Solar-TOPCon 580W,50.6,7.6,42.1,87.1,89.73,synth
distribution,HV-220kV line,313.8,3.3,28.4,63.5,96.42,synth
storage,Solid-State pilot,80.1,10.5,41.3,21.8,96.27,synth
storage,Li-ion NMC,16.2,12.8,18.8,51.8,88.43,synth
production,Hydro-Kaplan,183.6,10.2,33.7,27.2,89.89,synth
distribution,HV-132kV line,349.4,8.7,22.1,34.6,93.87,synth
distribution,HVDC link,344.0,9.2,18.7,64.6,94.95,synth
distribution,HV-132kV line,2.4,2.2,37.0,76.8,91.78,synth
distribution,HV-132kV line,90.8,9.8,25.8,43.9,93.93,synth
storage,Li-ion NMC,247.6,19.9,23.7,21.3,91.67,synth
production,Solar-TOPCon 580W,288.2,13.2,39.9,26.7,87.88,synth
production,Hydro-Francis,338.5,4.1,29.9,91.4,84.79,synth
storage,Li-ion NMC,220.6,8.9,16.5,44.2,87.24,synth
production,Solar-PERC 450W,458.3,19.2,24.8,84.9,79.86,synth
production,Wind-Geared 2MW,296.7,1.4,20.7,92.5,84.46,synth
production,Solar-TOPCon 580W,17.5,19.4,15.0,84.6,88.68,synth
storage,Li-ion NMC,295.5,10.6,23.2,49.1,89.78,synth
storage,Flow-Vanadium,117.7,1.8,28.0,86.0,79.14,synth
storage,Li-ion LFP,189.5,17.0,32.8,48.6,89.9,synth
storage,Lead-Acid,75.3,19.2,21.3,51.4,75.62,synth
production,Solar-PERC 450W,336.6,9.0,21.8,37.5,82.15,synth
storage,Li-ion NMC,225.3,4.8,23.4,82.3,90.45,synth
storage,Li-ion LFP,75.1,7.1,17.0,68.6,90.07,synth
storage,Li-ion LFP,62.7,4.3,27.6,89.5,94.33,synth
production,Solar-TOPCon 580W,66.4,9.7,22.4,41.5,90.02,synth
production,Solar-TOPCon 580W,365.3,16.7,17.3,46.9,89.08,synth
production,Wind-Geared 2MW,182.5,19.2,30.4,57.6,85.72,synth
distribution,HV-132kV line,34.1,17.2,39.0,29.3,91.49,synth
production,Solar-TOPCon 580W,242.5,6.4,39.0,92.7,90.96,synth
distribution,HV-132kV line,12.8,15.2,20.9,35.7,92.51,synth
distribution,HVDC link,163.5,12.3,28.5,22.8,98.14,synth
production,Hydro-Kaplan,123.4,14.0,36.5,37.9,89.01,synth
distribution,HV-132kV line,73.6,12.1,35.2,38.2,96.97,synth
storage,Lead-Acid,320.4,3.9,27.3,95.1,72.84,synth
storage,Lead-Acid,345.3,2.0,34.0,82.2,74.42,synth
production,Wind-Geared 2MW,464.2,13.5,22.3,80.6,86.9,synth
production,Wind-DirectDrive 4MW,389.2,11.0,16.3,63.6,92.01,synth
distribution,LV-11kV line,300.8,4.1,37.7,52.1,88.42,synth
production,Solar-TOPCon 580W,458.9,8.5,25.5,67.7,89.12,synth
distribution,HVDC link,215.8,12.1,23.7,51.9,96.0,synth
storage,Lead-Acid,143.6,10.0,44.3,72.8,70.17,synth
production,Hydro-Kaplan,150.0,8.3,19.3,73.2,92.31,synth
production,Wind-Geared 2MW,263.2,4.8,19.1,82.2,88.86,synth
production,Hydro-Kaplan,450.2,7.9,15.4,83.0,89.32,synth
distribution,HVDC link,213.6,9.3,22.8,56.5,94.95,synth
storage,Lead-Acid,47.1,19.9,24.3,91.1,75.11,synth
storage,Flow-Vanadium,169.0,3.1,18.1,38.1,77.02,synth
production,Wind-Geared 2MW,321.7,20.0,25.0,20.3,85.37,synth
production,Hydro-Francis,298.5,15.9,17.9,52.9,83.4,synth
distribution,HV-132kV line,17.1,5.0,17.1,33.3,92.71,synth
storage,Lead-Acid,162.2,4.3,40.1,44.8,73.87,synth
production,Wind-Geared 2MW,229.3,3.1,43.8,72.4,84.26,synth
distribution,LV-11kV line,472.9,9.9,28.4,88.1,84.05,synth
production,Solar-TOPCon 580W,48.0,16.1,40.6,73.9,92.18,synth
distribution,LV-11kV line,220.9,3.0,33.1,86.3,84.17,synth
distribution,HV-132kV line,240.9,17.5,23.9,34.6,91.82,synth
production,Hydro-Francis,181.7,13.0,38.0,81.8,84.49,synth
storage,Flow-Vanadium,327.1,13.3,27.5,35.0,76.43,synth
production,Hydro-Francis,456.2,15.2,30.4,89.3,84.75,synth
distribution,HV-220kV line,317.0,17.4,23.3,99.5,97.11,synth
distribution,LV-11kV line,87.5,17.1,17.5,60.1,83.83,synth
distribution,HV-132kV line,385.7,2.0,35.9,40.8,93.79,synth
distribution,HV-132kV line,315.2,2.4,20.3,48.6,92.51,synth
storage,Flow-Vanadium,160.7,9.8,26.0,94.2,76.4,synth
production,Wind-DirectDrive 4MW,466.8,17.0,41.4,40.9,93.18,synth
production,Wind-DirectDrive 4MW,269.5,14.9,39.1,61.7,90.56,synth
production,Solar-TOPCon 580W,226.0,16.0,24.1,65.3,92.46,synth
storage,Lead-Acid,355.4,6.9,28.9,45.2,73.38,synth
production,Wind-DirectDrive 4MW,19.2,13.6,40.4,83.7,92.46,synth
production,Solar-TOPCon 580W,9.1,5.8,40.1,92.4,88.95,synth
production,Wind-Geared 2MW,42.5,3.1,21.2,59.6,84.66,synth
distribution,HV-220kV line,239.3,5.0,35.2,87.1,94.98,synth
production,Solar-PERC 450W,465.0,7.0,34.3,78.7,81.86,synth
distribution,LV-11kV line,428.4,12.0,41.7,74.8,81.71,synth
storage,Li-ion NMC,146.1,11.6,43.8,96.3,88.84,synth
distribution,HVDC link,338.7,6.7,36.5,27.6,97.26,synth
storage,Lead-Acid,46.5,7.0,20.9,59.1,72.65,synth
distribution,LV-11kV line,59.7,15.5,28.6,66.1,80.92,synth
production,Hydro-Francis,112.2,7.7,31.9,55.0,84.99,synth
distribution,HV-220kV line,268.0,16.9,38.8,84.2,92.17,synth
storage,Flow-Vanadium,483.8,3.2,19.4,93.4,75.06,synth
distribution,LV-11kV line,120.8,6.4,44.1,25.1,81.58,synth
storage,Flow-Vanadium,340.4,11.5,18.3,53.7,75.2,synth
distribution,LV-11kV line,396.8,4.0,21.0,37.6,83.81,synth
distribution,LV-11kV line,38.9,11.0,33.4,61.5,84.04,synth
production,Hydro-Francis,366.0,19.7,42.7,31.1,84.32,synth
distribution,HV-220kV line,368.3,10.4,39.0,69.5,96.74,synth
